
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:11010        127.0.0.1:8785         ESTABLISHED     34428
  TCP    127.0.0.1:11010        127.0.0.1:8787         ESTABLISHED     34428
  TCP    127.0.0.1:11011        0.0.0.0:0              LISTENING       34428
  TCP    127.0.0.1:11011        127.0.0.1:1174         TIME_WAIT       0
  TCP    127.0.0.1:11011        127.0.0.1:9110         TIME_WAIT       0
  TCP    127.0.0.1:11011        127.0.0.1:9433         TIME_WAIT       0
  TCP    127.0.0.1:11011        127.0.0.1:14939        TIME_WAIT       0
  TCP    127.0.0.1:11371        127.0.0.1:5354         TIME_WAIT       0
  TCP    127.0.0.1:12004        127.0.0.1:30196        ESTABLISHED     2064
  TCP    127.0.0.1:12112        127.0.0.1:30196        ESTABLISHED     12440
  TCP    127.0.0.1:12263        127.0.0.1:5354         ESTABLISHED     5968
  TCP    127.0.0.1:12474        127.0.0.1:2101         ESTABLISHED     34428
  TCP    127.0.0.1:12476        127.0.0.1:2101         ESTABLISHED     34428
  TCP    127.0.0.1:14712        0.0.0.0:0              LISTENING       27428
  TCP    127.0.0.1:14712        127.0.0.1:6217         ESTABLISHED     27428
  TCP    127.0.0.1:14718        0.0.0.0:0              LISTENING       10000
  TCP    127.0.0.1:14718        127.0.0.1:1196         ESTABLISHED     10000
  TCP    127.0.0.1:14719        0.0.0.0:0              LISTENING       10000
  TCP    127.0.0.1:14719        127.0.0.1:1200         ESTABLISHED     10000
  TCP    127.0.0.1:14719        127.0.0.1:1201         ESTABLISHED     10000
  TCP    127.0.0.1:14857        0.0.0.0:0              LISTENING       22856
  TCP    127.0.0.1:14857        127.0.0.1:14858        ESTABLISHED     22856
  TCP    127.0.0.1:14858        127.0.0.1:14857        ESTABLISHED     25240
  TCP    127.0.0.1:14871        127.0.0.1:65001        ESTABLISHED     5808
  TCP    127.0.0.1:14872        0.0.0.0:0              LISTENING       12608
  TCP    127.0.0.1:24830        0.0.0.0:0              LISTENING       5192
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       5168
  TCP    127.0.0.1:30196        127.0.0.1:12004        ESTABLISHED     5832
  TCP    127.0.0.1:30196        127.0.0.1:12112        ESTABLISHED     5832
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       5808
  TCP    127.0.0.1:65001        127.0.0.1:14871        ESTABLISHED     5808
  TCP    172.21.64.1:139        0.0.0.0:0              LISTENING       4
  TCP    172.21.64.1:2552       0.0.0.0:0              LISTENING       5492
  TCP    192.168.0.108:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.108:1025     98.66.133.185:443      ESTABLISHED     6136
  TCP    192.168.0.108:1145     37.143.131.209:443     ESTABLISHED     2064
  TCP    192.168.0.108:1240     172.217.18.234:443     TIME_WAIT       0
  TCP    192.168.0.108:1266     142.250.200.202:443    ESTABLISHED     34428
  TCP    192.168.0.108:2193     216.239.38.223:443     CLOSE_WAIT      11432
  TCP    192.168.0.108:2194     216.239.38.223:443     CLOSE_WAIT      11432
  TCP    192.168.0.108:2197     216.239.38.223:443     CLOSE_WAIT      11432
  TCP    192.168.0.108:2408     20.50.88.238:443       ESTABLISHED     35572
  TCP    192.168.0.108:2872     20.50.88.233:443       TIME_WAIT       0
  TCP    192.168.0.108:2965     74.125.133.188:5228    ESTABLISHED     7708
  TCP    192.168.0.108:2988     20.50.88.238:443       TIME_WAIT       0
  TCP    192.168.0.108:3162     184.24.0.227:80        TIME_WAIT       0
  TCP    192.168.0.108:3163     20.50.88.238:443       ESTABLISHED     33120
  TCP    192.168.0.108:3182     192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.108:3228     13.71.55.58:443        TIME_WAIT       0
  TCP    192.168.0.108:3230     20.190.147.9:443       ESTABLISHED     20880
  TCP    192.168.0.108:3379     46.165.199.9:9166      TIME_WAIT       0
  TCP    192.168.0.108:3685     13.107.5.93:443        TIME_WAIT       0
  TCP    192.168.0.108:4147     149.154.167.91:443     ESTABLISHED     9024
  TCP    192.168.0.108:4413     142.250.200.234:443    TIME_WAIT       0
  TCP    192.168.0.108:4595     20.74.47.205:443       ESTABLISHED     5124
  TCP    192.168.0.108:4882     20.42.65.94:443        TIME_WAIT       0
  TCP    192.168.0.108:4911     172.217.19.138:443     CLOSE_WAIT      11432
  TCP    192.168.0.108:4925     20.189.173.16:443      TIME_WAIT       0
  TCP    192.168.0.108:5271     20.189.173.15:443      ESTABLISHED     31992
  TCP    192.168.0.108:5275     0.0.0.0:0              LISTENING       5492
  TCP    192.168.0.108:5567     192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.108:5778     178.162.202.97:9166    ESTABLISHED     6324
  TCP    192.168.0.108:6128     142.250.200.234:443    CLOSE_WAIT      11432
  TCP    192.168.0.108:6129     142.250.200.234:443    CLOSE_WAIT      11432
  TCP    192.168.0.108:6138     13.95.31.18:443        TIME_WAIT       0
  TCP    192.168.0.108:6139     135.232.92.137:443     TIME_WAIT       0
  TCP    192.168.0.108:6452     172.217.19.42:443      TIME_WAIT       0
  TCP    192.168.0.108:6507     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.108:6981     34.54.84.110:443       ESTABLISHED     10000
  TCP    192.168.0.108:7930     192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.108:7954     140.82.112.26:443      ESTABLISHED     7708
  TCP    192.168.0.108:8132     192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.108:8518     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.108:8598     40.119.249.228:443     TIME_WAIT       0
  TCP    192.168.0.108:9109     46.165.199.9:9166      FIN_WAIT_2      6324
  TCP    192.168.0.108:9241     178.162.202.97:9166    TIME_WAIT       0
  TCP    192.168.0.108:9284     74.125.133.188:5228    ESTABLISHED     7708
  TCP    192.168.0.108:9456     192.168.0.1:53         TIME_WAIT       0
  TCP    192.168.0.108:10101    74.125.133.188:5228    ESTABLISHED     7708
  TCP    192.168.0.108:10198    85.17.70.38:9166       TIME_WAIT       0
  TCP    192.168.0.108:10262    74.125.133.188:5228    ESTABLISHED     7708
  TCP    192.168.0.108:10572    172.96.160.45:30192    ESTABLISHED     5832
  TCP    192.168.0.108:10786    142.250.200.234:443    ESTABLISHED     34428
  TCP    192.168.0.108:10787    142.250.200.234:443    ESTABLISHED     34428
  TCP    192.168.0.108:10789    142.250.200.234:443    ESTABLISHED     34428
  TCP    192.168.0.108:11524    142.250.200.234:443    ESTABLISHED     11432
  TCP    192.168.0.108:11847    216.239.38.223:443     ESTABLISHED     34428
  TCP    192.168.0.108:14350    20.50.88.234:443       TIME_WAIT       0
  TCP    192.168.0.108:14867    192.168.0.1:53         TIME_WAIT       0
  TCP    [::]:135               [::]:0                 LISTENING       1712
